,Voice_Input,Corr_Input,Label,Voice_Object,Corr_Object
0,Lakhani come back go Scorpio,LopunnyMega Lopunny come bac. Go Skorupi,1,Scorpio,Skorupi
1,litwick switch for lick liki,Litwick switch for Lickilicky,1,lick liki,Lickilicky
2,hydrogen Swad for Cairo,Hydreigon swap for Kyurem,1,Cairo,Kyurem
3,Remo rate come back go genset,Remoraid come bac. Go Genesect,1,genset,Genesect
4,hoopa hoopa confined switch for Persian,HoopaHoopa Confined switch for Persian,1,Persian,Persian
5,no even Swag for latias Mega latias,Noivern swap for LatiasMega Latias,1,latias Mega latias,LatiasMega Latias
6,deoxys Normal Form come back goes your draw,DeoxysNormal Forme come bac. Go Seadra,1,your draw,Seadra
7,katalon switch for well done,Kecleon switch for Beldum,1,well done,Beldum
8,Agron swap for cofrez,AggronMega Aggron swap for Cofagrigus,1,cofrez,Cofagrigus
9,groudon come back go blaziken,GroudonPrimal Groudon come bac. Go BlazikenMega Blaziken,1,blaziken,BlazikenMega Blaziken
10,come back go seyo Mega seyo,Rhyhorn come bac. Go ScizorMega Scizor,1,seyo Mega seyo,ScizorMega Scizor
11,Kataria switch from devil,Altaria switch for Dwebble,1,devil,Dwebble
12,swa,BanetteMega Banette swap for Aurorus,1,,Aurorus
13,back go polio app,Entei come bac. Go Poliwrath,1,polio app,Poliwrath
14,ke switch for blanzo blanken,Inkay switch for BlazikenMega Blaziken,1,blanzo blanken,BlazikenMega Blaziken
15,swap for driller,Togekiss swap for Drilbur,1,driller,Drilbur
16,come back go Mr mime,WormadamPlant Cloak come bac. Go Mr. Mime,1,Mr mime,Mr. Mime
17,electabuzz switch for molar,Electabuzz switch for Alomomola,1,molar,Alomomola
18,swap for giga 3,Blitzle swap for Gigalith,1,giga 3,Gigalith
19,come back go back to your,Mr. Mime come bac. Go Bastiodon,1,back to your,Bastiodon
20,come back go sellers,Doduo come bac. Go Shellos,1,sellers,Shellos
21,quilava switch for Pushya na,Quilava switch for Poochyena,1, Pushya na,Poochyena
22,chances of,Chansey swap for Chimecho,1,,Chimecho
23,dustox come back Goli,Dustox come bac. Go Lilligant,1,Goli,Lilligant
24,Simmi says switch for yeval Taal,Simisage switch for Yveltal,1,yeval Taal,Yveltal
25,music software hit more,MeowsticMale swap for Heatmor,1,hit more,Heatmor
26,registry come back go iwsa,Registeel come bac. Go Ivysaur,1,iwsa,Ivysaur
27,tyrogue switch for drip loan,Tyrogue switch for Drifloon,1,drip loan,Drifloon
28,togepi shop for Vanilla Ace,Togepi swap for Vanillish,1,Vanilla Ace,Vanillish
29,rebellion come back go growlithe,Vivillon come bac. Go Growlithe,1,growlithe,Growlithe
30,come back go kara co,Ponyta come bac. Go Carracosta,1,kara co,Carracosta
31,geodude switch for Rayquaza,Geodude switch for RayquazaMega Rayquaza,1,Rayquaza,RayquazaMega Rayquaza
32,tank floor lamp pant,Stantler swap for Lampent,1,lamp pant,Lampent
